userId,transactionId,transactionTime,ccNum,transactionType,amount,city,userLat,userLon,merchantLat,merchantLon,isFraud,fraudReason,fraudConfidence
56a26f7c2373a62b24accad5,d13409a9-37b2-4309-a7b8-12bf22dd5d04,2025-05-14T12:12:54.425Z,8012835630093923,cash_out,1106.25,Dallas,-81.257460,53.071710,49.562597,59.963498,false,,
9e9ee3a944c29d02cb755663,14881ce2-9380-49c5-b480-7a975fc703d8,2026-03-17T10:22:13.597Z,8673007215549976,transfer,1613.62,San Jose,5.212952,-137.531816,72.070366,-96.769863,false,,
9a2dfd8ef522dcfe95a1d92f,165a3d00-42bd-4ce3-a1e6-61dbb1fcd6d4,2025-05-23T06:57:51.959Z,5767606362115176,withdrawal,2094.74,San Jose,-71.549996,-111.603333,-30.147032,-5.979004,false,,
4d832b1f1c1557b5b78aa242,2175b650-115b-405f-9cbd-d260c5667d95,2025-05-26T07:41:46.339Z,6764242261476198,purchase,4771.02,San Jose,65.789606,-98.232704,-75.405265,24.024857,false,,
08bdc86f235ff157ca5171e3,9841e502-ad8f-4388-8880-6a3c1ec538f6,2025-11-09T23:38:16.543Z,5369662174133973,withdrawal,3841.44,Philadelphia,20.518939,-160.430686,52.492125,-124.221774,false,,
eacc0d156bb7b0e3b85b5bea,9ead58ff-48fd-47b7-8a7d-715a3b99d0ff,2025-09-20T18:07:10.607Z,2334400798287431,payment,847.27,San Antonio,-23.023075,-11.139462,-6.873958,145.065447,false,,
761c6823b804796789b1dd87,9a8ed78f-9914-489b-aa2b-e63d2cccb59f,2025-09-06T14:00:38.957Z,3216017486493686,payment,1376.50,Chicago,30.079680,-43.591753,0.499927,177.284322,false,,
875e6685ce593a5351a70425,e25fc700-284b-4176-b833-6b3102cdd5b8,2025-11-17T08:30:06.104Z,1741838474100802,withdrawal,4099.28,San Diego,18.059218,30.372726,4.216974,7.646787,true,suspicious_location,0.9099
fe979e27c034c3c66ba12ded,7c9bf610-e50f-4e38-9bf2-333c669caeac,2025-11-03T12:42:10.688Z,2233909770029692,withdrawal,1135.36,Houston,69.014214,-7.372909,38.063940,72.644198,false,,
a314b4932d7575475435b174,a4928dc3-71ad-460a-a8b0-d1da75f25e51,2025-11-17T16:53:18.747Z,0227283967733449,withdrawal,4672.28,Phoenix,-35.366132,-148.816544,-35.289007,148.308722,true,high_amount,0.8225
