userId,transactionId,transactionTime,ccNum,transactionType,amount,city,userLat,userLon,merchantLat,merchantLon,isFraud,fraudReason,fraudConfidence
5180b6b1322c910d26e18feb,tx-0001,2026-02-27T16:29:57.239Z,4639473703189329,withdrawal,477.65,San Antonio,-87.638937,26.269214,-37.303265,70.860203,true,suspicious_location,0.8771
512008da15bf26897ddc2c2c,tx-0002,2026-01-16T06:48:56.434Z,8872834439292752,cash_out,3119.11,Philadelphia,-43.640114,69.700115,56.293733,-111.147466,false,,
b03254c764b83f4e3d1dcafc,tx-0003,2025-10-27T15:05:06.718Z,1160194611807177,cash_out,256.21,Houston,5.528286,-37.984383,57.278599,-143.881173,true,high_amount,0.9886
4c83468cd2468235768ab0bd,tx-0004,2025-08-14T17:21:21.374Z,9474719881417921,cash_out,4301.20,San Jose,-36.979970,-173.351913,11.676018,78.340422,false,,
c60e43760c52c0e656a65bbf,tx-0005,2025-05-24T21:08:56.801Z,6912141014958615,withdrawal,248.04,Los Angeles,54.245379,11.484935,-89.329699,-145.956864,false,,
8d7e7d98e07b67ef3bbccbdd,tx-0006,2025-04-16T15:49:09.909Z,0477190721011265,transfer,4878.18,San Jose,-51.219868,-106.951521,56.757449,-8.917654,false,,
238b2a887062c8443af54c3a,tx-0007,2025-11-05T23:55:26.078Z,0869706226226736,payment,1964.49,Philadelphia,-6.576228,-62.755510,58.107783,-43.643151,false,,
ce0efdc1a8f53c406ce257e9,tx-0008,2025-09-29T07:45:11.928Z,3209444669424683,transfer,4227.00,San Antonio,-78.256188,-128.590865,37.683245,-92.882938,false,,
cbc2ad7adb6bdbd62ebf88c3,tx-0009,2026-01-19T04:18:05.570Z,2782395407088801,withdrawal,3223.39,Los Angeles,22.232061,-115.184372,-53.990174,-128.318930,false,,
c18de80ef8687ddad97d71ef,tx-0010,2025-11-19T11:05:49.114Z,8251446089262397,cash_out,144.32,San Jose,39.111271,163.497662,-63.933791,4.624400,false,,
dabd5060e953c0d281214ce8,tx-0011,2025-11-23T00:11:11.396Z,0453703451619736,cash_out,585.34,San Diego,-53.275067,-68.348233,-12.093607,11.187929,false,,
247ff1540b56aa7123f751da,tx-0012,2025-10-18T15:59:09.854Z,6514264989578372,withdrawal,1026.11,San Jose,2.436826,-126.793331,44.518170,-35.228863,false,,
ed87e37b3454b047ca6235cc,tx-0013,2026-01-15T02:59:45.174Z,1019588139221557,purchase,214.46,Houston,-25.041295,-42.024447,75.814265,146.405260,false,,
39ebd799db4c6b8408a8ec8d,tx-0014,2025-12-28T04:45:44.194Z,5316399082356877,transfer,886.35,Phoenix,-37.007832,174.981259,-7.816778,142.785763,false,,
093e4487e58250e83c3a7031,tx-0015,2026-01-31T10:24:34.081Z,2549033640792642,transfer,1846.87,San Jose,-22.684922,-178.724229,-58.415520,122.893323,false,,
2a119d0ab87b8e2c64dcd4b4,tx-0016,2025-12-29T14:26:11.651Z,8421544896877311,cash_out,2098.36,Chicago,31.096243,75.399521,-80.759810,-0.060863,false,,
1283c7044bdee991cd052dbe,tx-0017,2025-10-06T14:15:19.794Z,2170381499736384,cash_out,1595.50,San Diego,22.735755,-106.306657,-29.873569,-70.768254,false,,
7444a2229f7d249c12e3b402,tx-0018,2025-04-24T16:23:00.754Z,2667843668665685,cash_out,738.36,Chicago,-7.562518,161.202299,8.446342,-30.652624,true,blacklisted_merchant,0.8632
08490828c061e1a86962495d,tx-0019,2025-05-15T22:03:26.307Z,0292512649843961,payment,2567.72,San Antonio,-66.644009,119.873254,51.858628,-154.127710,false,,
d57abae2782283bfb6e409cd,tx-0020,2025-05-21T15:56:03.535Z,9897845566576748,cash_out,50.47,Phoenix,-6.346254,127.814717,56.684915,154.900398,false,,
1c9afc4329e8e70788227459,tx-0021,2025-10-08T20:47:01.366Z,8534828375728383,cash_out,1583.27,Houston,-66.650016,-47.984497,-16.835216,164.878253,false,,
18ba7d23e9e44768935861fe,tx-0022,2025-10-31T07:06:36.025Z,6517250728301420,transfer,4028.47,San Diego,9.939279,101.037182,46.372530,42.546083,false,,
256322c5d058bafa605976b4,tx-0023,2025-04-22T05:53:32.745Z,5824379579531013,payment,1181.16,Dallas,-44.295766,179.509625,49.742005,22.469604,false,,
0e38c0cf66f7ee317345815b,tx-0024,2025-05-20T12:06:25.717Z,3320891386600916,purchase,3292.90,New York,36.849048,31.587631,85.599007,160.647481,false,,
f9b5c0026eeec44bc0632062,tx-0025,2025-07-14T04:00:52.012Z,4908745323487922,withdrawal,4663.26,Philadelphia,44.678816,86.062155,79.626352,-104.956363,false,,
282824b74ff3b885b410a117,tx-0026,2025-06-04T09:31:55.966Z,7140172673238283,cash_out,3708.79,San Antonio,-84.007856,91.577025,48.821441,-49.377910,true,blacklisted_merchant,0.9506
a14130d54dd146bf4f58a5a5,tx-0027,2025-04-26T03:30:22.581Z,1837740373773919,cash_out,4047.75,New York,60.114056,-113.372900,-35.311824,1.547866,false,,
d829db2d1a11d443f69a86d5,tx-0028,2025-07-08T04:45:42.462Z,9437407786669726,transfer,3618.54,Houston,-67.018044,15.288032,68.898231,-47.993164,false,,
0d4b3a17a246d330b4669fa1,tx-0029,2026-01-17T04:08:46.306Z,7081518134037074,purchase,2386.57,Los Angeles,-72.082473,165.792179,-15.443698,-53.378973,true,velocity,0.7742
61f54b1a68d88534b066928d,tx-0030,2026-01-09T07:50:01.155Z,9727618237231544,cash_out,3540.43,Chicago,-68.615679,-171.295988,-61.653789,150.441403,false,,
b83334ab6967f903e93a5a9f,tx-0031,2025-05-24T14:56:41.822Z,8211628676234981,withdrawal,2407.99,New York,-59.036572,-104.977923,80.025206,109.959070,false,,
3324a43f973eead83cff3555,tx-0032,2025-09-13T04:58:29.434Z,4628709941379363,transfer,2537.60,Chicago,28.429723,-87.082835,-8.650283,150.035170,false,,
5345ffff28b7f588dd3f6238,tx-0033,2026-01-17T01:01:07.059Z,3120303658186839,purchase,1869.30,Dallas,48.715530,-59.023649,-52.499271,3.140497,false,,
970c4148d415f79959e5ac27,tx-0034,2025-05-14T19:41:36.050Z,7587014642649072,transfer,1206.35,Chicago,63.607403,-99.271265,-38.168700,-20.565076,false,,
4c5b984f0e4b47504bef4a31,tx-0035,2026-03-21T08:30:24.529Z,0534508818044983,payment,3042.91,Philadelphia,79.722138,-124.479375,-39.622459,-103.926401,false,,
f8c1e41ffc0c85fe8845fb7f,tx-0036,2025-04-20T02:58:57.760Z,0696355414774423,payment,3755.51,San Diego,54.704998,-23.935470,45.303935,64.066215,true,velocity,0.8059
1f837f5b4b280f0008f9a0a4,tx-0037,2025-12-14T14:21:38.906Z,1830369997449700,payment,2183.54,New York,-36.324122,-28.093234,-75.575548,127.114977,false,,
27bfea7f7b2ba4fda6c49a4c,tx-0038,2025-08-13T00:17:15.669Z,8500214095756606,cash_out,3083.81,Philadelphia,-28.075213,-43.679506,-86.584942,-165.248561,false,,
f41eb9c93cebea4bcc7df2d6,tx-0039,2026-01-14T04:13:33.981Z,5098584687196183,cash_out,3109.62,San Jose,63.632377,53.811258,34.112807,82.728496,false,,
61391a8dd62ee6b9cbd5c1ae,tx-0040,2026-01-25T00:10:04.243Z,8150672663669718,transfer,1157.11,Chicago,57.606229,-72.067838,-23.018208,-171.375128,false,,
2c22c728a9a7ccdcc4cc0321,tx-0041,2025-11-29T15:16:56.586Z,2367255843719975,cash_out,1017.49,New York,-8.953163,-14.459591,15.142928,174.693007,false,,
80141487bb2e9ffdb5713291,tx-0042,2025-08-23T00:13:55.273Z,0893297928483101,payment,786.64,San Jose,76.924471,26.317558,-62.419052,-92.368946,true,velocity,0.7513
883ed816c9e252af685eb446,tx-0043,2025-11-30T06:54:20.832Z,6222464245624941,payment,4128.68,Dallas,6.407663,157.491482,17.278340,11.420202,false,,
44167078f9f83d27bfcde6dc,tx-0044,2025-05-24T11:11:07.795Z,9180971936381589,withdrawal,4236.75,Philadelphia,-69.096574,-50.656982,45.988180,60.845212,false,,
