Unnamed: 0,trans_date_trans_time,cc_num,trannsaction_type,amt,city,lat,long,trans_num,merch_lat,merch_long,is_fraud
332530,07-06-2019 13:59,4585130000000.0,entertainment,17.54,Utica,39.7417,-93.6289,e025843e1223d18d2bdb952a2155c262,39.660573,-93.726992,0
669880,12-10-2019 21:44,4266200000000000.0,misc_net,837.95,Nelson,40.201,-98.0684,18bb94b17665205a4fd976f57ef95d3b,39.990728,-98.889052,1
197066,11-04-2019 21:11,584674000000.0,food_dining,1.9,Coleharbor,47.5196,-101.2332,c7234bc476fb7a40b2be3e31a32ff238,48.450408,-101.404848,0
979771,02-02-2020 08:06,6534630000000000.0,grocery_pos,322.33,Hinesburg,44.3346,-73.098,ebabd39f168278e7f7771829d82c9f10,44.396538,-74.001606,1
900672,27-12-2019 02:41,3521420000000000.0,shopping_net,981.17,Indianapolis,39.849,-86.272,ab9d0a09f7bacccee588a6289c0a9315,39.669227,-86.450474,1
97038,26-02-2019 14:43,3583640000000000.0,travel,9.35,Philadelphia,40.0369,-75.0664,33d9ac1125462e66353f87365513e73a,40.138941,-75.465585,0
911258,29-12-2019 08:20,30442400000000.0,misc_net,7.94,Jermyn,41.5744,-75.5881,a57a4cd2c09dd5f1a6b9cbe8716ffbf1,40.577789,-75.919329,0
603725,13-09-2019 23:52,213137000000000.0,grocery_pos,283.29,Humboldt,34.5189,-112.2523,93ac93d52f5de1f1ec2f14a3338f692f,35.030426,-112.232113,1
522339,12-08-2019 23:38,4294040000000000.0,home,288.35,New Ellenton,33.413,-81.69,b87fbfdb104eb6571e6fa8d80abb9f86,34.228801,-80.886839,1
112750,04-03-2019 21:44,213153000000000.0,shopping_net,8.89,Tomahawk,45.4963,-89.7273,368f9708c18ca94376a4f108482bb9ae,45.896556,-90.575811,0
274526,15-05-2019 23:59,6524380000000000.0,shopping_net,1131.15,Phil Campbell,34.347,-87.7154,cb57cdfaec1298872a949739f0c31212,34.207454,-87.536328,1
74292,12-02-2019 23:58,3520550000000000.0,misc_pos,8.24,Hovland,47.8342,-90.0476,9930ced846a4f3082235bf75f89e31cd,47.120308,-89.314686,1
70905,11-02-2019 15:29,4191110000000000.0,home,27.01,Amanda,39.6251,-82.7552,9710cf3188994aa0000453fdc191c99b,39.12137,-82.422122,0
185928,06-04-2019 23:24,4681700000000.0,shopping_pos,744.64,Murfreesboro,35.8596,-86.421,3645dcfa432cfa5eedef69ebc31490a1,35.421759,-86.349458,1
500352,05-08-2019 12:29,3517810000000000.0,food_dining,58.23,Union,37.5802,-80.5248,62f05f95ab4d4314b384fa187fc20434,37.941828,-79.889227,0
839265,13-12-2019 11:47,4969860000000000.0,grocery_pos,114.48,Metairie,29.9975,-90.2146,5f1652402de4d277e4afe9eabccdb7ae,30.504226,-89.440765,0
661094,08-10-2019 11:04,581293000000.0,grocery_pos,108.41,Lahoma,36.385,-98.0727,456182aff2fbcd4b3ce02368dc15f27a,36.156076,-97.264882,0
534327,17-08-2019 23:16,502013000000.0,shopping_pos,722.05,Garrattsville,42.6315,-75.1866,cad406d5127eb3078ae95406711595f9,41.871891,-75.290563,1
